SA2_CODE_2021,SA2_NAME_2021,PHN_NAME_2023
310041300,Goodna,Darling Downs and West Moreton
310041301,New Chum,Darling Downs and West Moreton
310041302,Redbank Plains,Darling Downs and West Moreton
310041303,Springfield,Darling Downs and West Moreton
310041304,Springfield Lakes,Darling Downs and West Moreton
310041565,Augustine Heights - Brookwater,Darling Downs and West Moreton
310041566,Bellbird Park,Darling Downs and West Moreton
311011305,Beaudesert,Gold Coast
311011305,Beaudesert,Brisbane South
311021306,Beenleigh,Brisbane South
311021307,Eagleby,Brisbane South
311021308,Edens Landing - Holmview,Brisbane South
311021309,Mount Warren Park,Brisbane South
311021310,Wolffdene - Bahrs Scrub,Brisbane South
311031311,Boronia Heights - Park Ridge,Brisbane South
311031312,Browns Plains,Brisbane South
311031313,Chambers Flat - Logan Reserve,Brisbane South
311031314,Crestmead,Brisbane South
311031315,Greenbank Military Camp,Brisbane South
311031316,Hillcrest,Brisbane South
311031317,Marsden,Brisbane South
311031318,Munruben - Park Ridge South,Brisbane South
311031319,Regents Park - Heritage Park,Brisbane South
311041322,Logan Village,Brisbane South
311041567,Flagstone (East) - Riverbend,Brisbane South
311041568,Flagstone (West) - New Beith,Brisbane South
311041569,Greenbank - North Maclean,Brisbane South
311041570,Jimboomba - Glenlogan,Brisbane South
311041571,Yarrabilba,Brisbane South
311051323,Bethania - Waterford,Brisbane South
311051324,Cornubia - Carbrook,Brisbane South
311051325,Loganholme - Tanah Merah,Brisbane South
311051326,Loganlea,Brisbane South
311051327,Shailer Park,Brisbane South
311051328,Waterford West,Brisbane South
311061329,Daisy Hill,Brisbane South
311061330,Kingston (Qld),Brisbane South
311061331,Logan Central,Brisbane South
311061332,Rochedale South - Priestdale,Brisbane South
311061333,Slacks Creek,Brisbane South
311061334,Springwood,Brisbane South
311061335,Underwood,Brisbane South
311061336,Woodridge,Brisbane South
312011337,Bowen,Northern Queensland
312011338,Broadsound - Nebo,Northern Queensland
312011339,Clermont,Northern Queensland
312011340,Collinsville,Northern Queensland
312011341,Moranbah,Northern Queensland
312021342,Andergrove - Beaconsfield,Northern Queensland
312021343,East Mackay,Northern Queensland
312021344,Eimeo - Rural View,Northern Queensland
312021345,Eungella Hinterland,Northern Queensland
312021346,Mackay,Northern Queensland
312021347,Mackay Harbour,Northern Queensland
312021348,Mount Pleasant - Glenella,Northern Queensland
312021349,North Mackay,Northern Queensland
312021350,Ooralea - Bakers Creek,Northern Queensland
312021351,Pioneer Valley,Northern Queensland
312021352,Sarina,Northern Queensland
312021353,Seaforth - Calen,Northern Queensland
312021354,Shoal Point - Bucasia,Northern Queensland
312021355,Slade Point,Northern Queensland
312021356,South Mackay,Northern Queensland
312021357,Walkerston - Eton,Northern Queensland
312021358,West Mackay,Northern Queensland
312031359,Airlie - Whitsundays,Northern Queensland
312031360,Cape Conway,Northern Queensland
312031361,Proserpine,Northern Queensland
313011362,Beachmere - Sandstone Point,Brisbane North
313011363,Bribie Island,Brisbane North
313021364,Burpengary - East,Brisbane North
313021366,Caboolture - South,Brisbane North
313021367,Elimbah,Brisbane North
313021368,Morayfield - East,Brisbane North
313021369,Wamuran,Brisbane North
313021572,Caboolture - East,Brisbane North
313021573,Caboolture - West,Brisbane North
313031370,Kilcoy,Darling Downs and West Moreton
313031370,Kilcoy,Brisbane North
313031371,Woodford - D'Aguilar,Brisbane North
313041372,Burpengary,Brisbane North
313041373,Deception Bay,Brisbane North
313041374,Morayfield,Brisbane North
313041375,Narangba,Brisbane North
313041376,Upper Caboolture,Brisbane North
313051377,Clontarf,Brisbane North
313051378,Margate - Woody Point,Brisbane North
313051379,Redcliffe,Brisbane North
313051380,Rothwell - Kippa-Ring,Brisbane North
313051574,Moreton Island,Brisbane South
313051575,Scarborough - Newport,Brisbane North
314011382,Albany Creek,Brisbane North
314011383,Cashmere,Brisbane North
314011384,Dayboro,Brisbane North
314011385,Eatons Hill,Brisbane North
314011386,The Hills District,Brisbane North
314011387,Samford Valley,Brisbane North
314021389,Murrumba Downs - Griffin,Brisbane North
314021576,Dakabin,Brisbane North
314021577,Kallangur,Brisbane North
314021578,Mango Hill,Brisbane North
314021579,North Lakes,Brisbane North
314031391,Bray Park,Brisbane North
314031392,Lawnton,Brisbane North
314031393,Petrie,Brisbane North
314031394,Strathpine - Brendale,Brisbane North
315011395,Aurukun,Northern Queensland
315011396,Cape York,Northern Queensland
315011397,Croydon - Etheridge,Northern Queensland
315011398,Kowanyama - Pormpuraaw,Northern Queensland
315011399,Northern Peninsula,Northern Queensland
315011400,Tablelands,Northern Queensland
315011401,Torres,Northern Queensland
315011402,Torres Strait Islands,Northern Queensland
315011403,Weipa,Northern Queensland
315021404,Carpentaria,Western Queensland
315021405,Mount Isa,Western Queensland
315021406,Mount Isa Surrounds,Western Queensland
315021407,Northern Highlands,Western Queensland
315021407,Northern Highlands,Northern Queensland
315031408,Barcaldine - Blackall,Western Queensland
315031409,Charleville,Western Queensland
315031410,Far Central West,Western Queensland
315031411,Far South West,Western Queensland
315031412,Longreach,Western Queensland
316011413,Buderim - North,"Central Queensland, Wide Bay, Sunshine Coast"
316011414,Buderim - South,"Central Queensland, Wide Bay, Sunshine Coast"
316011415,Mountain Creek,"Central Queensland, Wide Bay, Sunshine Coast"
316011416,Sippy Downs,"Central Queensland, Wide Bay, Sunshine Coast"
316021417,Aroona - Currimundi,"Central Queensland, Wide Bay, Sunshine Coast"
316021418,Buddina - Minyama,"Central Queensland, Wide Bay, Sunshine Coast"
316021419,Caloundra - Kings Beach,"Central Queensland, Wide Bay, Sunshine Coast"
316021421,Golden Beach - Pelican Waters,"Central Queensland, Wide Bay, Sunshine Coast"
316021422,Moffat Beach - Battery Hill,"Central Queensland, Wide Bay, Sunshine Coast"
316021423,Parrearra - Warana,"Central Queensland, Wide Bay, Sunshine Coast"
316021424,Wurtulla - Birtinya,"Central Queensland, Wide Bay, Sunshine Coast"
316021580,Caloundra West - Baringa,"Central Queensland, Wide Bay, Sunshine Coast"
316021581,Meridan Plains - Little Mountain (North),"Central Queensland, Wide Bay, Sunshine Coast"
316031425,Coolum Beach,"Central Queensland, Wide Bay, Sunshine Coast"
316031426,Marcoola - Mudjimba,"Central Queensland, Wide Bay, Sunshine Coast"
316031427,Maroochydore - Kuluin,"Central Queensland, Wide Bay, Sunshine Coast"
316031428,Mooloolaba - Alexandra Headland,"Central Queensland, Wide Bay, Sunshine Coast"
316051434,Noosa Heads,"Central Queensland, Wide Bay, Sunshine Coast"
316051435,Noosaville,"Central Queensland, Wide Bay, Sunshine Coast"
316051437,Sunshine Beach,"Central Queensland, Wide Bay, Sunshine Coast"
316051438,Tewantin,"Central Queensland, Wide Bay, Sunshine Coast"
316051543,Peregian Beach - Marcus Beach,"Central Queensland, Wide Bay, Sunshine Coast"
316051544,Peregian Springs,"Central Queensland, Wide Bay, Sunshine Coast"
316061439,Beerwah,"Central Queensland, Wide Bay, Sunshine Coast"
316061440,Caloundra Hinterland,"Central Queensland, Wide Bay, Sunshine Coast"
316061441,Glass House Mountains,"Central Queensland, Wide Bay, Sunshine Coast"
316061442,Landsborough,"Central Queensland, Wide Bay, Sunshine Coast"
316061443,Maroochy Hinterland,"Central Queensland, Wide Bay, Sunshine Coast"
316061444,Palmwoods,"Central Queensland, Wide Bay, Sunshine Coast"
316071545,Bli Bli,"Central Queensland, Wide Bay, Sunshine Coast"
316071546,Diddillibah - Rosemount,"Central Queensland, Wide Bay, Sunshine Coast"
316071547,Eumundi - Yandina,"Central Queensland, Wide Bay, Sunshine Coast"
316071548,Nambour,"Central Queensland, Wide Bay, Sunshine Coast"
316081549,Noosa Hinterland,"Central Queensland, Wide Bay, Sunshine Coast"
317011445,Cambooya - Wyreema,Darling Downs and West Moreton
317011446,Darling Heights,Darling Downs and West Moreton
317011447,Drayton - Harristown,Darling Downs and West Moreton
317011448,Gatton,Darling Downs and West Moreton
317011449,Gowrie (Qld),Darling Downs and West Moreton
317011450,Highfields,Darling Downs and West Moreton
317011451,Lockyer Valley - West,Darling Downs and West Moreton
317011452,Middle Ridge,Darling Downs and West Moreton
317011453,Newtown (Qld),Darling Downs and West Moreton
317011454,North Toowoomba - Harlaxton,Darling Downs and West Moreton
317011455,Rangeville,Darling Downs and West Moreton
317011456,Toowoomba - Central,Darling Downs and West Moreton
317011457,Toowoomba - East,Darling Downs and West Moreton
317011458,Toowoomba - West,Darling Downs and West Moreton
317011459,Wilsonton,Darling Downs and West Moreton
318011460,Ayr,Northern Queensland
318011461,Burdekin,Northern Queensland
318011462,Charters Towers,Northern Queensland
318011463,Dalrymple,Northern Queensland
318011464,Ingham,Northern Queensland
318011465,Ingham Surrounds,Northern Queensland
318011466,Palm Island,Northern Queensland
318021467,Aitkenvale,Northern Queensland
